level 1;level 2;level 3;level 4;level 5;level 6;Value
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Amaranthaceae;Amaranthus;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Amaranthaceae;Amaranthus;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Amaranthaceae;Beta;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Amaranthaceae;Beta;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Amaranthaceae;Chenopodium ;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Amaranthaceae;Spinacia;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Amaryllidaceae;Allium;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Amaryllidaceae;Allium;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Amaryllidaceae;Allium;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Amaryllidaceae;Allium;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Amaryllidaceae;Allium;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Anethum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Chaerophyllum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Chaerophyllum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Coriandrum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Foeniculum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Heracleum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Heracleum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Oenanthe;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Pastinaca;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Petroselinum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Apiales;Apiaceae;Pimpinella;1
Spermatophyta;Magnoliophytina;ALISMATID MONOCOTS;Alismatales;Araceae;Arum;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Asparagaceae;Ornithogalum;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Asparagaceae;Ornithogalum ;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Asparagaceae;Ruscus;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Asparagales;Asphodelaceae;Eremurus;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Artemisia;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Helianthus;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Helichrysum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Lactuca;1
